time_s,lat_deg,lon_deg,alt_m
0.000000,28.500000,-80.500000,0.000000
1.000000,28.500000,-80.494883,1328.888889
2.000000,28.500000,-80.489767,2648.888889
3.000000,28.500000,-80.484650,3960.000000
4.000000,28.500000,-80.479533,5262.222222
5.000000,28.500000,-80.474417,6555.555556
6.000000,28.500000,-80.469300,7840.000000
7.000000,28.500000,-80.464183,9115.555556
8.000000,28.500000,-80.459067,10382.222222
9.000000,28.500000,-80.453950,11640.000000
10.000000,28.500000,-80.448833,12888.888889
11.000000,28.500000,-80.443717,14128.888889
12.000000,28.500000,-80.438600,15360.000000
13.000000,28.500000,-80.433483,16582.222222
14.000000,28.500000,-80.428367,17795.555556
15.000000,28.500000,-80.423250,19000.000000
16.000000,28.500000,-80.418133,20195.555556
17.000000,28.500000,-80.413017,21382.222222
18.000000,28.500000,-80.407900,22560.000000
19.000000,28.500000,-80.402783,23728.888889
20.000000,28.500000,-80.397667,24888.888889
21.000000,28.500000,-80.392550,26040.000000
22.000000,28.500000,-80.387433,27182.222222
23.000000,28.500000,-80.382317,28315.555556
24.000000,28.500000,-80.377200,29440.000000
25.000000,28.500000,-80.372084,30555.555556
26.000000,28.500000,-80.366967,31662.222222
27.000000,28.500000,-80.361850,32760.000000
28.000000,28.500000,-80.356734,33848.888889
29.000000,28.500000,-80.351617,34928.888889
30.000000,28.500000,-80.346500,36000.000000
31.000000,28.500000,-80.341384,37062.222222
32.000000,28.500000,-80.336267,38115.555556
33.000000,28.500000,-80.331150,39160.000000
34.000000,28.500000,-80.326034,40195.555556
35.000000,28.500000,-80.320917,41222.222222
36.000000,28.500000,-80.315800,42240.000000
37.000000,28.500000,-80.310684,43248.888889
38.000000,28.500000,-80.305567,44248.888889
39.000000,28.500000,-80.300450,45240.000000
40.000000,28.500000,-80.295334,46222.222222
41.000000,28.500000,-80.290217,47195.555556
42.000000,28.500000,-80.285100,48160.000000
43.000000,28.500000,-80.279984,49115.555556
44.000000,28.500000,-80.274867,50062.222222
45.000000,28.500000,-80.269750,51000.000000
46.000000,28.500000,-80.264634,51928.888889
47.000000,28.500000,-80.259517,52848.888889
48.000000,28.500000,-80.254400,53760.000000
49.000000,28.500000,-80.249284,54662.222222
50.000000,28.500000,-80.244167,55555.555556
51.000000,28.500000,-80.239050,56440.000000
52.000000,28.500000,-80.233934,57315.555556
53.000000,28.500000,-80.228817,58182.222222
54.000000,28.500000,-80.223700,59040.000000
55.000000,28.500000,-80.218584,59888.888889
56.000000,28.500000,-80.213467,60728.888889
57.000000,28.500000,-80.208350,61560.000000
58.000000,28.500000,-80.203234,62382.222222
59.000000,28.500000,-80.198117,63195.555556
60.000000,28.500000,-80.193000,64000.000000
61.000000,28.500000,-80.187884,64795.555556
62.000000,28.500000,-80.182767,65582.222222
63.000000,28.500000,-80.177650,66360.000000
64.000000,28.500000,-80.172534,67128.888889
65.000000,28.500000,-80.167417,67888.888889
66.000000,28.500000,-80.162300,68640.000000
67.000000,28.500000,-80.157184,69382.222222
68.000000,28.500000,-80.152067,70115.555556
69.000000,28.500000,-80.146950,70840.000000
70.000000,28.500000,-80.141834,71555.555556
71.000000,28.500000,-80.136717,72262.222222
72.000000,28.500000,-80.131601,72960.000000
73.000000,28.500000,-80.126484,73648.888889
74.000000,28.500000,-80.121367,74328.888889
75.000000,28.500000,-80.116251,75000.000000
76.000000,28.500000,-80.111134,75662.222222
77.000000,28.500000,-80.106017,76315.555556
78.000000,28.500000,-80.100901,76960.000000
79.000000,28.500000,-80.095784,77595.555556
80.000000,28.500000,-80.090667,78222.222222
81.000000,28.500000,-80.085551,78840.000000
82.000000,28.500000,-80.080434,79448.888889
83.000000,28.500000,-80.075317,80048.888889
84.000000,28.500000,-80.070201,80640.000000
85.000000,28.500000,-80.065084,81222.222222
86.000000,28.500000,-80.059967,81795.555556
87.000000,28.500000,-80.054851,82360.000000
88.000000,28.500000,-80.049734,82915.555556
89.000000,28.500000,-80.044617,83462.222222
90.000000,28.500000,-80.039501,84000.000000
91.000000,28.500000,-80.034384,84528.888889
92.000000,28.500000,-80.029267,85048.888889
93.000000,28.500000,-80.024151,85560.000000
94.000000,28.500000,-80.019034,86062.222222
95.000000,28.500000,-80.013917,86555.555556
96.000000,28.500000,-80.008801,87040.000000
97.000000,28.500000,-80.003684,87515.555556
98.000000,28.500000,-79.998567,87982.222222
99.000000,28.500000,-79.993451,88440.000000
100.000000,28.500000,-79.988334,88888.888889
101.000000,28.500000,-79.983217,89328.888889
102.000000,28.500000,-79.978101,89760.000000
103.000000,28.500000,-79.972984,90182.222222
104.000000,28.500000,-79.967867,90595.555556
105.000000,28.500000,-79.962751,91000.000000
106.000000,28.500000,-79.957634,91395.555556
107.000000,28.500000,-79.952517,91782.222222
108.000000,28.500000,-79.947401,92160.000000
109.000000,28.500000,-79.942284,92528.888889
110.000000,28.500000,-79.937167,92888.888889
111.000000,28.500000,-79.932051,93240.000000
112.000000,28.500000,-79.926934,93582.222222
113.000000,28.500000,-79.921817,93915.555556
114.000000,28.500000,-79.916701,94240.000000
115.000000,28.500000,-79.911584,94555.555556
116.000000,28.500000,-79.906467,94862.222222
117.000000,28.500000,-79.901351,95160.000000
118.000000,28.500000,-79.896234,95448.888889
119.000000,28.500000,-79.891118,95728.888889
120.000000,28.500000,-79.886001,96000.000000
121.000000,28.500000,-79.880884,96262.222222
122.000000,28.500000,-79.875768,96515.555556
123.000000,28.500000,-79.870651,96760.000000
124.000000,28.500000,-79.865534,96995.555556
125.000000,28.500000,-79.860418,97222.222222
126.000000,28.500000,-79.855301,97440.000000
127.000000,28.500000,-79.850184,97648.888889
128.000000,28.500000,-79.845068,97848.888889
129.000000,28.500000,-79.839951,98040.000000
130.000000,28.500000,-79.834834,98222.222222
131.000000,28.500000,-79.829718,98395.555556
132.000000,28.500000,-79.824601,98560.000000
133.000000,28.500000,-79.819484,98715.555556
134.000000,28.500000,-79.814368,98862.222222
135.000000,28.500000,-79.809251,99000.000000
136.000000,28.500000,-79.804134,99128.888889
137.000000,28.500000,-79.799018,99248.888889
138.000000,28.500000,-79.793901,99360.000000
139.000000,28.500000,-79.788784,99462.222222
140.000000,28.500000,-79.783668,99555.555556
141.000000,28.500000,-79.778551,99640.000000
142.000000,28.500000,-79.773434,99715.555556
143.000000,28.500000,-79.768318,99782.222222
144.000000,28.500000,-79.763201,99840.000000
145.000000,28.500000,-79.758084,99888.888889
146.000000,28.500000,-79.752968,99928.888889
147.000000,28.500000,-79.747851,99960.000000
148.000000,28.500000,-79.742734,99982.222222
149.000000,28.500000,-79.737618,99995.555556
150.000000,28.500000,-79.732501,100000.000000
151.000000,28.500000,-79.727384,99995.555556
152.000000,28.500000,-79.722268,99982.222222
153.000000,28.500000,-79.717151,99960.000000
154.000000,28.500000,-79.712034,99928.888889
155.000000,28.500000,-79.706918,99888.888889
156.000000,28.500000,-79.701801,99840.000000
157.000000,28.500000,-79.696684,99782.222222
158.000000,28.500000,-79.691568,99715.555556
159.000000,28.500000,-79.686451,99640.000000
160.000000,28.500000,-79.681334,99555.555556
161.000000,28.500000,-79.676218,99462.222222
162.000000,28.500000,-79.671101,99360.000000
163.000000,28.500000,-79.665984,99248.888889
164.000000,28.500000,-79.660868,99128.888889
165.000000,28.500000,-79.655751,99000.000000
166.000000,28.500000,-79.650635,98862.222222
167.000000,28.500000,-79.645518,98715.555556
168.000000,28.500000,-79.640401,98560.000000
169.000000,28.500000,-79.635285,98395.555556
170.000000,28.500000,-79.630168,98222.222222
171.000000,28.500000,-79.625051,98040.000000
172.000000,28.500000,-79.619935,97848.888889
173.000000,28.500000,-79.614818,97648.888889
174.000000,28.500000,-79.609701,97440.000000
175.000000,28.500000,-79.604585,97222.222222
176.000000,28.500000,-79.599468,96995.555556
177.000000,28.500000,-79.594351,96760.000000
178.000000,28.500000,-79.589235,96515.555556
179.000000,28.500000,-79.584118,96262.222222
180.000000,28.500000,-79.579001,96000.000000
181.000000,28.500000,-79.573885,95728.888889
182.000000,28.500000,-79.568768,95448.888889
183.000000,28.500000,-79.563651,95160.000000
184.000000,28.500000,-79.558535,94862.222222
185.000000,28.500000,-79.553418,94555.555556
186.000000,28.500000,-79.548301,94240.000000
187.000000,28.500000,-79.543185,93915.555556
188.000000,28.500000,-79.538068,93582.222222
189.000000,28.500000,-79.532951,93240.000000
190.000000,28.500000,-79.527835,92888.888889
191.000000,28.500000,-79.522718,92528.888889
192.000000,28.500000,-79.517601,92160.000000
193.000000,28.500000,-79.512485,91782.222222
194.000000,28.500000,-79.507368,91395.555556
195.000000,28.500000,-79.502251,91000.000000
196.000000,28.500000,-79.497135,90595.555556
197.000000,28.500000,-79.492018,90182.222222
198.000000,28.500000,-79.486901,89760.000000
199.000000,28.500000,-79.481785,89328.888889
200.000000,28.500000,-79.476668,88888.888889
201.000000,28.500000,-79.471551,88440.000000
202.000000,28.500000,-79.466435,87982.222222
203.000000,28.500000,-79.461318,87515.555556
204.000000,28.500000,-79.456201,87040.000000
205.000000,28.500000,-79.451085,86555.555556
206.000000,28.500000,-79.445968,86062.222222
207.000000,28.500000,-79.440851,85560.000000
208.000000,28.500000,-79.435735,85048.888889
209.000000,28.500000,-79.430618,84528.888889
210.000000,28.500000,-79.425501,84000.000000
211.000000,28.500000,-79.420385,83462.222222
212.000000,28.500000,-79.415268,82915.555556
213.000000,28.500000,-79.410152,82360.000000
214.000000,28.500000,-79.405035,81795.555556
215.000000,28.500000,-79.399918,81222.222222
216.000000,28.500000,-79.394802,80640.000000
217.000000,28.500000,-79.389685,80048.888889
218.000000,28.500000,-79.384568,79448.888889
219.000000,28.500000,-79.379452,78840.000000
